"Activity_type" "Subject_id" "Mean" "Standard deviation"
"LAYING" 1 -0.466464695241624 -0.896699261804485
"LAYING" 2 -0.50576115791339 -0.980492348554293
"LAYING" 3 -0.495139579001589 -0.973555798352884
"LAYING" 4 -0.496494719070863 -0.960841350255892
"LAYING" 5 -0.505395795608001 -0.97277492210373
"LAYING" 6 -0.490068230923604 -0.938894773891707
"LAYING" 7 -0.495819744578019 -0.951894384892075
"LAYING" 8 -0.491561903564916 -0.953251137141975
"LAYING" 9 -0.508050878962618 -0.944242142015576
"LAYING" 10 -0.541823106038124 -0.961084978136364
"LAYING" 11 -0.50095320287773 -0.977547759728868
"LAYING" 12 -0.498124792032077 -0.957088102540404
"LAYING" 13 -0.494984663416783 -0.967352157609971
"LAYING" 14 -0.478718255922756 -0.934842463238265
"LAYING" 15 -0.503206390416014 -0.962181718324916
"LAYING" 16 -0.512261230093331 -0.974313487683983
"LAYING" 17 -0.493147100517735 -0.969502280717029
"LAYING" 18 -0.504350354328079 -0.987915725314685
"LAYING" 19 -0.509003422068129 -0.975283077013509
"LAYING" 20 -0.50402180870232 -0.971673243807487
"LAYING" 21 -0.49217039828296 -0.966463192717172
"LAYING" 22 -0.488323361132555 -0.949517000464268
"LAYING" 23 -0.502068483700922 -0.974838249659091
"LAYING" 24 -0.499245803186717 -0.977079799002525
"LAYING" 25 -0.450866870566094 -0.859226441427107
"LAYING" 26 -0.508710403510201 -0.980657343927432
"LAYING" 27 -0.509062502687154 -0.985017043521703
"LAYING" 28 -0.535170511866983 -0.964252162746212
"LAYING" 29 -0.505500411371238 -0.988594156319719
"LAYING" 30 -0.496127699551121 -0.97131121374026
"SITTING" 1 -0.487488828495867 -0.962531684925854
"SITTING" 2 -0.500610030441972 -0.974113940790514
"SITTING" 3 -0.478944112603013 -0.936746787346154
"SITTING" 4 -0.484203136101009 -0.951483705307273
"SITTING" 5 -0.483921969559625 -0.952403047947934
"SITTING" 6 -0.483739868346573 -0.949510577900826
"SITTING" 7 -0.485297754668864 -0.939410998802399
"SITTING" 8 -0.489469650810414 -0.965444231379447
"SITTING" 9 -0.480826574001152 -0.928220936999515
"SITTING" 10 -0.502534954340297 -0.971721957250842
